e46c2d78a-e46c2d78a,0,0,0,0
2e3e10e7a-e46c2d78a,0,0,0,0
4f01cedeb-2e3e10e7a,0,0,0,0
6f07d45ea-4f01cedeb,0,0,0,0
ab7dc712a-6f07d45ea,0,0,0,0
7681d0fe3-ab7dc712a,0,0,0,0
31c750f73-7681d0fe3,31,1,0,3
076547ffb-31c750f73,18,0,0,4
64a9c35b0-076547ffb,18,0,0,4
477a130e5-64a9c35b0,49,0,0,7
c8487ba92-477a130e5,49,0,0,7
2e54336fb-c8487ba92,18,0,0,4
ebf9f53fa-2e54336fb,0,0,0,0
6a911eea7-ebf9f53fa,0,0,0,0
f5dc97e8f-6a911eea7,0,0,0,0
99d28b93a-f5dc97e8f,0,0,0,0
347fc8eda-99d28b93a,0,0,0,1
c99f4d4f8-347fc8eda,0,0,0,0
a56554e85-c99f4d4f8,0,0,0,6
dc708a00f-a56554e85,0,0,0,0
12430f088-dc708a00f,0,0,0,0
406855ba3-12430f088,1,1,0,1
114836b16-406855ba3,1,0,0,2
00d749921-114836b16,0,0,0,0
adbd6db17-00d749921,1,1,0,1
cd48c065f-adbd6db17,0,0,0,0
47ad210a1-cd48c065f,0,0,0,0
075cc9836-47ad210a1,0,0,0,0
1b0911000-075cc9836,0,0,0,0
c7ee0a10e-1b0911000,0,0,0,1
1376d43cc-c7ee0a10e,0,0,0,0
5667fbafb-1376d43cc,0,0,0,0
5667fbafb-5667fbafb,0,0,0,0
bbc5474d3-5667fbafb,0,0,0,0
b899e36ec-bbc5474d3,0,0,0,0
974dadad2-b899e36ec,0,0,0,0
77fcac1e5-974dadad2,0,0,0,1
ff81f3a7a-77fcac1e5,0,0,0,1
f02a62a8e-ff81f3a7a,0,0,0,0
ccb842593-f02a62a8e,0,0,0,1
470647a36-ccb842593,0,0,0,0
ca42ee3dc-470647a36,0,0,0,1
6ac59be75-ca42ee3dc,0,0,0,0
2f2132752-6ac59be75,0,0,0,0
e0d7934db-2f2132752,0,0,0,0
5aa1b9ac7-e0d7934db,0,0,0,0
3b9b28c61-5aa1b9ac7,0,0,0,0
99ddcfdb5-3b9b28c61,0,0,0,0
db1c7c41f-99ddcfdb5,4,0,0,5
760281aa3-db1c7c41f,3,1,0,2
460327d41-760281aa3,8,0,1,4
bbb67c226-460327d41,8,1,0,4
08885f99c-bbb67c226,5,2,0,2
f5cdf4a77-08885f99c,0,0,0,0
aabfd8156-f5cdf4a77,0,0,0,0
6f7b32f8f-aabfd8156,0,0,0,0
5734bbaa6-6f7b32f8f,1,0,0,1
dcb491eed-5734bbaa6,0,0,0,0
1f40bb0e5-dcb491eed,0,0,0,5
52e75940b-1f40bb0e5,41,1,0,8
af416f31d-52e75940b,0,0,0,0
3ef672e28-af416f31d,41,0,1,8
1ac576178-3ef672e28,41,1,0,8
2c097dcf0-1ac576178,0,0,0,0
3f743d25f-2c097dcf0,0,0,0,0
da2df774d-3f743d25f,0,0,0,0
408d994ab-da2df774d,0,0,0,0
4f38328a4-408d994ab,0,0,0,0
43e7c8a04-4f38328a4,0,0,0,0
23fe49503-43e7c8a04,0,0,0,0
104fd782f-23fe49503,0,0,0,0
76db1ab4e-104fd782f,12,1,0,4
340f7795c-76db1ab4e,9,0,0,7
b684f41be-340f7795c,9,0,0,7
381d67126-b684f41be,1,0,0,3
040ff5b87-381d67126,5,0,0,3
7cbdea38a-040ff5b87,4,0,0,4
af5e74949-7cbdea38a,6,0,0,6
560e6eab6-af5e74949,5,0,0,3
dd095fafe-560e6eab6,3,0,1,1
